"domain_uuid","domain_name","extension","number_alias","answered","missed","voicemail","no_answer","busy","aloc","inbound_calls","inbound_duration","outbound_calls","outbound_duration","description"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","100","","0","0","0","0","143","0.00000000000000000000","0","0","0","","100 - Ian"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","101","","0","0","0","0","0","","0","","0","","101 - Jamie"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","102","","13","0","0","0","155","0.80830039525691699605","0","0","13","1636","102 - Natalie"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","103","","0","0","0","0","0","","0","","0","","103 - Chris"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","104","","0","0","0","0","0","","0","","0","","104 - Amanda"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","105","","0","0","0","0","0","","0","","0","","105 - Boardroom"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","106","","336","0","0","0","339","35.0332369942196532","263","63090","77","9639","106 - Retail 1"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","107","","68","0","0","0","170","6.8753092528451262","57","13244","11","651","107 - Retail 2"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","108","","396","0","0","0","8","29.1051368218915026","335","56368","72","4258","108 - Retail 3"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","109","","0","0","0","0","0","","0","","0","","109 - Workshop 1"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","110","","0","0","0","0","0","","0","","0","","110 - Workshop 2"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","111","","0","0","0","0","0","","0","","0","","111 - Warehouse"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","112","","0","0","0","0","0","","0","","0","","112 - Trevor"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","200","","323","46","0","0","229","27.2391202620496022","205","45533","182","12677","200 - Burleigh Retail 1"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","201","","59","0","0","0","0","82.3939393939393939","6","308","60","5130","201 - Burleigh Workshop"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","203","","659","127","0","0","41","72.1965484180249281","661","140783","138","9819","203 - Burleigh Retail 2"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","204","","0","0","0","0","0","","0","","0","","204 Burleigh Front Desk 3"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","300","","607","707","0","0","0","67.7689393939393939","1228","82409","92","7046","300 - Newstead Front Desk"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","301","","0","0","0","0","0","","0","","0","","301 - Newstead Office"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","302","","22","0","0","0","0","80.7391304347826087","0","","23","1857","302 - Newstead Workshop"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","920","","288","0","0","0","0","160.5241935483870968","0","","496","79620","AI -agent diversion number"
